order_id,line_no,product_id,quantity
0,1,28,3
0,2,31,3
0,3,36,1
1,1,74,1
1,2,89,2
1,3,99,2
2,1,17,1
2,2,43,3
2,3,83,3
2,4,95,1
3,1,20,2
3,2,51,2
3,3,84,1
4,1,51,1
4,2,57,3
4,3,69,1
4,4,71,2
4,5,82,1
5,1,9,2
5,2,51,3
5,3,52,1
5,4,86,3
5,5,99,2
6,1,9,2
6,2,40,1
6,3,42,2
6,4,55,3
6,5,75,3
6,6,80,1
6,7,81,2
6,8,86,2
7,1,8,2
7,2,87,2
8,1,0,3
8,2,14,3
8,3,17,1
8,4,18,2
8,5,22,2
9,1,22,2
9,2,27,3
9,3,38,2
9,4,45,3
9,5,54,1
9,6,86,1
10,1,10,2
10,2,63,3
10,3,80,3
10,4,91,1
11,1,21,2
11,2,46,2
11,3,51,1
11,4,71,2
12,1,32,2
12,2,38,2
12,3,43,1
12,4,92,3
12,5,93,2
13,1,10,2
13,2,13,3
13,3,69,2
13,4,72,1
14,1,75,1
14,2,81,3
15,1,56,1
15,2,59,1
16,1,8,2
16,2,11,3
16,3,40,3
16,4,53,1
16,5,59,3
16,6,79,3
17,1,21,3
17,2,32,2
17,3,38,1
17,4,45,3
18,1,49,3
18,2,94,2
18,3,97,1
19,1,2,2
19,2,31,1
19,3,45,3
19,4,63,3
19,5,79,1
19,6,89,3
19,7,99,3
20,1,17,3
20,2,61,1
20,3,74,2
20,4,88,3
20,5,91,1
21,1,75,1
21,2,78,3
21,3,80,3
21,4,85,3
22,1,15,1
22,2,23,1
22,3,54,1
22,4,66,3
23,1,12,2
23,2,14,1
23,3,15,3
23,4,46,2
23,5,58,1
23,6,61,2
23,7,87,2
24,1,15,2
24,2,20,3
24,3,32,2
24,4,44,1
24,5,52,2
24,6,75,3
25,1,7,1
26,1,29,2
26,2,33,3
26,3,56,1
26,4,69,3
26,5,71,3
26,6,75,2
26,7,78,3
27,1,10,3
27,2,79,1
27,3,80,1
28,1,3,2
28,2,18,2
28,3,21,2
28,4,35,3
28,5,93,1
29,1,2,2
29,2,19,3
29,3,39,3
29,4,60,3
29,5,72,3
30,1,14,1
30,2,34,2
30,3,75,2
31,1,21,3
31,2,53,2
31,3,89,3
32,1,64,2
32,2,75,1
32,3,80,3
33,1,31,2
33,2,50,2
33,3,59,3
33,4,84,2
33,5,91,2
34,1,0,2
34,2,33,1
34,3,45,1
34,4,64,2
35,1,62,1
35,2,64,1
35,3,72,3
35,4,75,2
36,1,49,3
36,2,70,2
37,1,3,3
37,2,33,1
37,3,41,3
37,4,47,2
37,5,49,1
37,6,71,1
38,1,10,3
38,2,33,3
38,3,83,3
39,1,0,2
39,2,2,1
39,3,59,3
39,4,61,2
39,5,75,3
40,1,18,2
40,2,27,3
40,3,36,2
40,4,60,3
40,5,86,2
40,6,91,3
41,1,39,2
41,2,50,2
41,3,52,1
41,4,71,1
42,1,3,3
42,2,70,2
43,1,34,3
43,2,53,3
43,3,60,3
43,4,91,1
44,1,16,2
44,2,23,3
44,3,29,2
44,4,78,2
45,1,49,3
45,2,61,3
45,3,68,2
45,4,78,1
45,5,88,1
46,1,22,1
47,1,7,2
47,2,12,3
47,3,34,3
48,1,0,1
48,2,12,1
48,3,45,2
49,1,23,1
49,2,75,1
50,1,76,2
51,1,5,1
51,2,8,1
51,3,77,3
51,4,95,1
52,1,0,1
52,2,22,3
52,3,61,3
52,4,65,1
52,5,78,1
53,1,19,2
53,2,75,2
53,3,78,2
53,4,96,2
54,1,22,1
54,2,33,1
54,3,38,3
54,4,61,1
54,5,77,3
55,1,1,1
55,2,53,2
55,3,60,1
55,4,85,1
55,5,98,3
56,1,0,1
56,2,68,2
57,1,2,3
57,2,38,1
57,3,41,3
57,4,66,2
57,5,80,2
57,6,83,2
58,1,16,3
58,2,19,1
58,3,39,3
59,1,47,2
59,2,54,3
59,3,74,3
59,4,91,2
60,1,17,3
60,2,80,2
61,1,25,2
61,2,37,2
61,3,87,2
62,1,19,3
62,2,37,1
62,3,91,1
63,1,9,1
63,2,22,2
63,3,52,2
63,4,82,1
63,5,99,1
64,1,9,1
64,2,66,1
65,1,7,3
65,2,33,1
65,3,91,2
65,4,99,2
66,1,55,2
67,1,35,1
67,2,71,3
67,3,73,1
67,4,86,1
68,1,10,1
68,2,44,1
68,3,80,2
69,1,27,3
69,2,57,1
69,3,89,1
70,1,41,3
70,2,52,2
70,3,55,1
71,1,9,3
71,2,22,1
71,3,53,3
71,4,99,1
72,1,25,3
72,2,43,2
72,3,56,2
72,4,83,1
72,5,95,3
73,1,31,1
73,2,44,2
73,3,82,3
74,1,6,2
74,2,17,1
75,1,31,2
75,2,47,2
75,3,61,2
75,4,93,2
76,1,3,3
76,2,63,2
76,3,88,3
76,4,89,3
76,5,99,2
77,1,10,1
77,2,29,3
77,3,41,1
77,4,46,2
77,5,53,3
78,1,15,1
78,2,24,3
78,3,25,3
78,4,61,3
78,5,85,3
79,1,4,2
79,2,31,2
79,3,38,3
79,4,41,3
79,5,96,3
80,1,49,3
80,2,59,2
80,3,86,3
81,1,75,1
81,2,84,2
81,3,85,2
82,1,1,1
82,2,20,3
82,3,28,1
82,4,59,1
82,5,75,3
82,6,81,3
83,1,20,2
83,2,42,2
84,1,7,1
84,2,78,2
84,3,87,2
85,1,41,1
85,2,51,3
86,1,31,3
86,2,40,1
86,3,52,1
86,4,71,2
87,1,40,2
87,2,83,1
88,1,0,3
88,2,6,1
88,3,13,1
88,4,70,2
88,5,85,2
88,6,88,3
89,1,11,2
89,2,55,1
89,3,75,1
89,4,91,3
90,1,10,3
90,2,20,1
90,3,22,1
90,4,32,1
91,1,14,2
91,2,47,1
91,3,87,2
91,4,91,1
92,1,5,1
92,2,62,2
92,3,89,1
93,1,47,2
93,2,88,2
94,1,5,2
94,2,19,3
94,3,54,3
94,4,56,2
95,1,6,3
95,2,11,2
95,3,48,1
95,4,63,1
95,5,73,2
96,1,6,1
96,2,22,3
96,3,28,1
96,4,31,3
96,5,94,1
97,1,80,2
98,1,37,3
98,2,73,3
98,3,89,1
98,4,99,3
99,1,40,3
99,2,95,2
100,1,11,1
100,2,39,2
100,3,58,3
100,4,61,3
101,1,36,1
101,2,47,2
101,3,48,2
101,4,63,1
102,1,20,3
102,2,75,3
102,3,80,3
103,1,0,3
103,2,6,2
103,3,65,3
103,4,86,1
103,5,99,3
104,1,84,2
105,1,18,3
105,2,62,2
106,1,97,1
107,1,36,2
107,2,63,2
107,3,89,1
108,1,42,3
109,1,32,1
109,2,86,1
109,3,93,3
110,1,16,3
110,2,33,2
111,1,10,2
111,2,19,1
111,3,20,3
111,4,42,2
112,1,4,1
112,2,5,3
112,3,43,2
112,4,91,1
112,5,99,2
113,1,7,3
113,2,18,2
113,3,85,3
113,4,92,2
114,1,10,1
114,2,31,3
114,3,34,3
115,1,12,3
115,2,55,3
115,3,70,2
115,4,85,2
115,5,88,2
116,1,6,2
116,2,12,1
116,3,84,1
116,4,95,3
117,1,8,2
117,2,13,3
117,3,31,3
117,4,53,2
117,5,61,2
117,6,65,3
117,7,98,2
118,1,21,3
118,2,26,1
118,3,42,3
118,4,66,3
118,5,80,3
118,6,94,1
119,1,42,1
119,2,47,3
119,3,48,2
119,4,99,3
120,1,67,1
120,2,99,2
121,1,62,2
121,2,67,1
121,3,84,2
121,4,87,2
122,1,12,2
122,2,17,1
122,3,36,2
122,4,69,2
122,5,79,1
123,1,12,3
123,2,16,3
123,3,25,1
123,4,88,3
124,1,13,2
124,2,27,3
124,3,50,3
125,1,20,2
125,2,42,2
125,3,75,2
126,1,19,2
126,2,31,3
126,3,38,2
126,4,39,3
127,1,50,2
127,2,62,3
127,3,91,2
127,4,93,2
128,1,17,1
128,2,46,1
128,3,51,3
128,4,83,1
128,5,84,1
128,6,89,1
129,1,4,2
129,2,16,3
129,3,55,3
129,4,91,2
130,1,17,3
130,2,28,3
131,1,25,3
131,2,31,1
131,3,45,3
131,4,88,3
132,1,4,2
132,2,10,1
132,3,20,2
132,4,54,2
132,5,56,3
133,1,45,1
134,1,40,3
134,2,61,2
135,1,10,1
135,2,22,1
135,3,52,1
135,4,72,3
136,1,11,3
136,2,26,2
136,3,41,2
136,4,80,1
137,1,5,1
137,2,30,2
137,3,75,2
137,4,85,3
137,5,94,2
138,1,70,2
138,2,71,1
138,3,74,2
138,4,86,1
139,1,65,2
139,2,86,3
140,1,23,1
140,2,33,3
140,3,47,1
140,4,69,1
140,5,91,2
140,6,94,2
141,1,38,1
141,2,57,1
141,3,73,2
141,4,90,3
142,1,3,3
142,2,36,2
142,3,52,2
142,4,76,3
143,1,61,3
143,2,93,2
143,3,94,3
144,1,15,1
144,2,41,1
144,3,48,3
144,4,53,3
144,5,59,3
144,6,82,3
144,7,97,1
144,8,98,3
145,1,10,1
145,2,99,1
146,1,38,3
146,2,53,3
146,3,75,2
146,4,84,1
147,1,22,3
147,2,26,1
147,3,30,3
147,4,81,3
148,1,49,1
148,2,50,1
148,3,88,2
149,1,7,2
149,2,22,1
149,3,40,3
149,4,41,3
149,5,55,2
149,6,68,2
149,7,70,2
150,1,42,3
150,2,44,2
150,3,45,1
150,4,49,2
150,5,70,1
150,6,92,1
151,1,1,2
151,2,17,2
151,3,18,1
151,4,73,1
152,1,22,2
152,2,31,3
152,3,52,1
152,4,93,2
153,1,20,2
153,2,52,2
153,3,93,3
153,4,99,3
154,1,34,2
154,2,62,2
154,3,68,2
154,4,79,3
154,5,99,3
155,1,19,1
155,2,45,3
155,3,75,2
156,1,8,1
156,2,62,3
156,3,68,1
157,1,6,1
157,2,21,3
157,3,22,2
157,4,44,1
157,5,56,3
157,6,91,1
158,1,28,3
158,2,33,1
159,1,0,2
159,2,44,2
159,3,68,2
159,4,71,3
159,5,77,1
160,1,1,1
160,2,20,1
160,3,45,3
160,4,89,2
161,1,10,3
161,2,66,2
161,3,95,2
161,4,97,2
162,1,8,1
162,2,20,3
162,3,30,2
162,4,53,2
162,5,80,3
162,6,94,2
163,1,24,2
163,2,37,2
164,1,7,1
164,2,99,3
165,1,25,3
165,2,44,2
165,3,84,1
166,1,17,2
166,2,27,1
166,3,66,1
166,4,68,2
166,5,91,3
167,1,3,2
167,2,10,2
167,3,28,1
167,4,33,2
168,1,40,2
168,2,51,3
168,3,58,1
169,1,32,3
169,2,45,3
169,3,64,2
169,4,66,2
169,5,98,1
170,1,32,3
170,2,44,1
171,1,11,1
171,2,25,2
171,3,36,1
171,4,51,1
171,5,53,2
171,6,80,3
171,7,93,3
172,1,6,3
172,2,19,3
172,3,30,2
173,1,34,1
173,2,35,3
173,3,71,1
174,1,10,1
174,2,20,2
174,3,33,1
174,4,53,3
174,5,92,2
175,1,14,3
175,2,49,1
176,1,16,1
176,2,26,2
176,3,32,2
176,4,34,3
