order_id,main_group,n_items
0,1,3
1,0,3
2,1,4
3,1,3
4,0,5
5,0,5
6,0,8
7,1,2
8,0,5
9,4,6
10,4,4
11,1,4
12,1,5
13,2,4
14,3,2
15,3,2
16,0,6
17,1,4
18,4,3
19,4,7
20,3,5
21,0,4
22,4,4
23,3,7
24,1,6
25,1,1
26,2,7
27,2,3
28,1,5
29,4,5
30,2,3
31,2,3
32,2,3
33,1,5
34,0,4
35,2,4
36,3,2
37,0,6
38,2,3
39,3,5
40,4,6
41,3,4
42,1,2
43,4,4
44,2,4
45,4,5
46,3,1
47,4,3
48,4,3
49,0,2
50,1,1
51,1,4
52,0,5
53,2,4
54,1,5
55,3,5
56,0,2
57,4,6
58,2,3
59,4,4
60,3,2
61,3,3
62,2,3
63,0,5
64,0,2
65,1,4
66,0,1
67,0,4
68,2,3
69,4,3
70,0,3
71,0,4
72,1,5
73,1,3
74,0,2
75,2,4
76,0,5
77,2,5
78,3,5
79,1,5
80,3,3
81,1,3
82,2,6
83,0,2
84,3,3
85,0,2
86,0,4
87,3,2
88,3,6
89,4,4
90,2,4
91,4,4
92,4,3
93,1,2
94,2,4
95,4,5
96,0,5
97,2,1
98,0,4
99,4,2
100,3,4
101,4,4
102,2,3
103,0,5
104,1,1
105,4,2
106,3,1
107,4,3
108,2,1
109,1,3
110,2,2
111,2,4
112,4,5
113,4,4
114,4,3
115,2,5
116,1,4
117,1,7
118,4,6
119,3,4
120,0,2
121,1,4
122,3,5
123,3,4
124,3,3
125,2,3
126,1,4
127,1,4
128,3,6
129,2,4
130,0,2
131,4,4
132,2,5
133,1,1
134,3,2
135,2,4
136,2,4
137,0,5
138,0,4
139,1,2
140,4,6
141,0,4
142,4,4
143,1,3
144,3,8
145,0,2
146,2,4
147,2,4
148,3,3
149,0,7
150,3,6
151,0,4
152,1,4
153,1,4
154,4,5
155,2,3
156,4,3
157,0,6
158,2,2
159,0,5
160,4,4
161,4,4
162,2,6
163,3,2
164,0,2
165,3,3
166,4,5
167,2,4
168,0,3
169,4,5
170,0,2
171,2,7
172,1,3
173,0,3
174,2,5
175,3,2
176,1,5
177,1,3
178,0,3
179,2,3
180,2,6
181,2,4
182,0,3
183,1,5
184,1,3
185,4,5
186,0,5
187,2,3
188,0,4
189,2,7
190,0,2
191,1,3
192,4,3
193,2,4
194,3,1
195,0,5
196,3,5
197,0,3
198,4,4
199,2,5
200,1,3
201,1,4
202,4,1
203,1,6
204,0,1
205,0,4
206,4,5
207,3,5
208,2,3
209,0,7
210,2,5
211,2,3
212,1,3
213,4,4
214,0,4
215,2,4
216,3,5
217,4,7
218,1,2
219,2,4
220,0,3
221,4,6
222,0,5
223,3,3
224,1,6
225,3,3
226,2,4
227,4,3
228,0,4
229,4,4
230,1,5
231,3,2
232,0,2
233,3,4
234,1,4
235,0,4
236,4,2
237,3,8
238,3,5
239,4,4
240,1,5
241,2,4
242,2,4
243,1,5
244,1,3
245,4,5
246,4,4
247,3,6
248,4,4
249,3,3
250,1,6
251,1,5
252,0,6
253,1,6
254,1,2
255,4,4
256,4,6
257,0,2
258,3,2
259,1,5
260,4,6
261,1,4
262,3,5
263,2,8
264,0,3
265,0,3
266,0,5
267,1,3
268,0,5
269,3,7
270,0,4
271,0,3
272,4,4
273,2,2
274,1,6
275,3,5
276,4,3
277,0,5
278,4,2
279,2,5
280,2,4
281,1,3
282,1,3
283,0,4
284,4,2
285,3,5
286,4,4
287,3,3
288,4,3
289,4,3
290,0,4
291,3,3
292,3,3
293,2,3
294,4,2
295,4,4
296,0,4
297,4,3
298,3,4
299,3,5
300,0,1
301,1,4
302,1,5
303,0,6
304,0,6
305,2,2
306,0,5
307,4,3
308,1,5
309,1,5
310,1,4
311,0,8
312,1,5
313,4,5
314,3,3
315,3,5
316,2,4
317,2,5
318,0,4
319,3,3
320,2,4
321,4,5
322,1,6
323,3,4
324,4,5
325,0,5
326,2,6
327,1,4
328,3,4
329,2,2
330,3,4
331,3,8
332,1,4
333,4,4
334,1,2
335,4,7
336,0,4
337,4,2
338,4,5
339,4,1
340,4,8
341,3,4
342,3,2
343,2,3
344,2,3
345,2,5
346,4,5
347,3,4
348,1,3
349,2,5
350,1,4
351,4,5
352,4,1
353,4,4
354,0,5
355,0,4
356,1,6
357,0,5
358,1,2
359,2,4
360,0,2
361,2,3
362,0,2
363,4,6
364,2,3
365,1,3
366,3,4
367,2,5
368,3,6
369,4,5
370,0,3
371,2,4
372,0,4
373,2,4
374,4,6
375,1,5
376,4,3
377,4,2
378,3,2
379,4,3
380,0,2
381,0,3
382,0,6
383,3,4
384,0,5
385,3,4
386,3,6
387,4,5
388,0,3
389,4,2
390,4,3
391,4,4
392,1,4
393,3,2
394,4,4
395,2,6
396,4,3
397,4,5
398,1,3
399,3,3
400,2,4
401,4,1
402,1,2
403,1,5
404,4,3
405,3,3
406,0,3
407,4,7
408,2,2
409,1,4
410,1,5
411,4,4
412,2,4
413,0,4
414,2,5
415,0,3
416,3,4
417,3,2
418,0,5
419,4,3
420,3,4
421,4,3
422,1,2
423,0,4
424,1,7
425,4,4
426,4,3
427,4,2
428,3,4
429,4,4
430,0,5
431,1,3
432,4,4
433,2,7
434,0,3
435,1,7
436,3,3
437,1,2
438,1,3
439,2,4
440,4,3
441,3,5
442,1,2
443,2,5
444,2,3
445,4,4
446,3,6
447,0,3
448,4,6
449,4,6
450,4,4
451,4,4
452,3,8
453,0,2
454,1,5
455,3,6
456,1,5
457,1,6
458,2,5
459,4,4
460,3,6
461,1,5
462,2,7
463,3,3
464,4,4
465,4,4
466,0,4
467,1,6
468,1,6
469,3,2
470,0,4
471,3,6
472,1,4
473,4,4
474,2,3
475,3,4
476,1,3
477,2,2
478,1,5
479,1,5
480,3,2
481,2,5
482,1,4
483,4,6
484,0,6
485,4,4
486,0,5
487,3,3
488,4,6
489,1,2
490,1,3
491,3,4
492,0,3
493,3,3
494,3,6
495,4,3
496,4,6
497,1,1
498,2,6
499,2,4
500,3,6
501,3,3
502,0,3
503,4,3
504,2,2
505,0,4
506,0,8
507,0,4
508,1,6
509,0,6
510,1,7
511,0,3
512,3,4
513,4,5
514,0,5
515,3,4
516,2,3
517,1,4
518,1,4
519,2,6
520,0,3
521,2,2
522,1,5
523,3,2
524,0,4
525,0,4
526,3,2
527,3,4
528,0,5
529,1,4
530,3,4
531,2,4
532,0,2
533,3,7
534,3,3
535,2,5
536,2,1
537,2,1
538,4,4
539,1,4
540,0,2
541,1,4
542,4,4
543,1,4
544,0,6
545,3,3
546,2,4
547,4,8
548,0,4
549,0,4
550,2,3
551,1,4
552,0,3
553,3,3
554,4,5
555,3,4
556,0,6
557,2,2
558,1,3
559,1,4
560,4,2
561,4,6
562,4,5
563,0,4
564,3,3
565,2,5
566,4,5
567,0,5
568,0,5
569,2,2
570,3,7
571,3,6
572,2,4
573,2,3
574,1,4
575,1,7
576,1,3
577,3,4
578,4,2
579,0,1
580,3,4
581,1,3
582,3,3
583,4,2
584,3,4
585,0,6
586,2,6
587,3,6
588,3,2
589,3,3
590,1,4
591,4,3
592,1,3
593,4,6
594,0,4
595,0,2
596,0,5
597,1,6
598,0,4
599,4,5
600,1,5
601,0,3
602,1,3
603,2,6
604,3,3
605,2,6
606,3,4
607,0,4
608,2,5
609,0,5
610,3,3
611,3,3
612,0,4
613,1,6
614,3,6
615,1,6
616,4,1
617,0,6
618,0,5
619,1,5
620,0,5
621,2,4
622,4,5
623,3,4
624,4,3
625,2,5
626,0,3
627,1,5
628,1,5
629,4,5
630,3,6
631,0,4
632,4,3
633,2,4
634,4,3
635,3,4
636,2,2
637,0,6
638,1,4
639,0,6
640,4,4
641,4,4
642,3,6
643,2,4
644,1,6
645,3,4
646,3,3
647,4,5
648,2,3
649,1,4
650,2,5
651,0,4
652,1,3
653,1,6
654,2,4
655,2,3
656,2,1
657,3,4
658,4,5
659,4,4
660,4,3
661,4,5
662,2,5
663,1,4
664,1,3
665,0,7
666,0,4
667,1,6
668,3,3
669,2,1
670,4,6
671,1,5
672,4,4
673,0,2
674,3,6
675,4,3
676,2,3
677,4,2
678,1,3
679,2,5
680,0,2
681,4,4
682,1,1
683,4,4
684,2,4
685,0,3
686,3,5
687,1,3
688,4,4
689,1,3
690,2,3
691,2,5
692,0,4
693,0,5
694,3,4
695,1,4
696,4,6
697,1,3
698,4,4
699,4,6
700,0,3
701,1,5
702,1,6
703,0,5
704,2,1
705,4,3
706,3,2
707,4,2
708,4,4
709,3,5
710,3,1
711,0,3
712,0,3
713,2,4
714,0,4
715,0,1
716,4,3
717,0,2
718,2,2
719,1,2
720,3,4
721,0,3
722,0,3
723,4,4
724,2,8
725,0,5
726,1,3
727,0,1
728,2,4
729,4,7
730,4,4
731,1,4
732,1,4
733,2,4
734,3,3
735,1,5
736,3,4
737,0,6
738,4,5
739,2,5
740,0,6
741,2,4
742,3,4
743,2,3
744,1,4
745,2,4
746,3,3
747,0,6
748,0,2
749,4,4
750,1,5
751,4,3
752,1,3
753,2,6
754,0,5
755,4,6
756,1,4
757,2,5
758,1,3
759,4,2
760,4,3
761,3,3
762,2,4
763,3,4
764,1,1
765,2,1
766,3,3
767,4,6
768,0,4
769,0,2
770,0,6
771,4,5
772,4,5
773,0,2
774,4,5
775,1,3
776,2,6
777,0,4
778,4,4
779,1,1
780,2,5
781,4,3
782,0,2
783,4,6
784,1,4
785,0,4
786,3,4
787,0,6
788,0,1
789,4,5
790,0,3
791,0,7
792,2,5
793,2,1
794,3,5
795,1,3
796,4,2
797,0,3
798,3,5
799,2,2
800,0,4
801,1,1
802,0,3
803,3,4
804,1,3
805,1,4
806,3,3
807,3,2
808,2,4
809,2,5
810,4,2
811,1,7
812,4,3
813,4,5
814,2,4
815,3,4
816,2,6
817,1,5
818,2,1
819,3,4
820,3,3
821,0,3
822,2,3
823,0,5
824,3,4
825,3,4
826,3,1
827,1,2
828,1,4
829,2,7
830,4,2
831,1,3
832,2,5
833,0,2
834,3,3
835,2,3
836,0,5
837,1,6
838,4,4
839,2,4
840,3,3
841,0,4
842,4,5
843,1,5
844,4,6
845,0,5
846,1,5
847,0,5
848,0,6
849,2,3
850,0,8
851,4,5
852,3,3
853,3,5
854,0,2
855,4,3
856,3,3
857,3,3
858,3,2
859,1,3
860,2,4
861,2,1
862,4,5
863,1,2
864,4,5
865,4,3
866,4,5
867,4,5
868,1,6
869,0,4
870,4,7
871,0,5
872,0,6
873,2,2
874,0,4
875,1,4
876,2,1
877,0,3
878,3,5
879,1,4
880,4,5
881,2,3
882,2,5
883,3,6
884,2,1
885,3,5
886,1,4
887,0,2
888,0,3
889,4,4
890,3,3
891,3,2
892,1,4
893,4,4
894,2,4
895,4,3
896,3,6
897,1,8
898,2,2
899,4,5
900,1,5
901,4,4
902,3,7
903,1,7
904,2,4
905,2,3
906,4,3
907,4,6
908,1,5
909,1,3
910,3,3
911,0,5
912,4,3
913,3,3
914,0,4
915,2,4
916,4,2
917,3,6
918,3,4
919,2,6
920,4,3
921,1,3
922,4,2
923,2,1
924,1,4
925,4,2
926,4,6
927,3,6
928,1,2
929,3,5
930,2,6
931,0,2
932,3,5
933,2,6
934,2,2
935,3,4
936,2,4
937,3,5
938,1,4
939,1,5
940,4,3
941,3,5
942,4,6
943,4,2
944,3,7
945,4,2
946,4,4
947,4,5
948,1,1
949,4,4
950,3,4
951,2,4
952,4,5
953,4,5
954,0,6
955,4,5
956,2,3
957,0,6
958,4,3
959,4,6
960,1,5
961,0,2
962,4,5
963,1,6
964,3,4
965,3,2
966,1,5
967,1,3
968,2,3
969,1,5
970,2,4
971,0,4
972,4,7
973,0,3
974,2,4
975,2,4
976,1,4
977,3,2
978,3,4
979,0,2
980,3,4
981,1,4
982,3,5
983,1,3
984,2,4
985,1,5
986,2,2
987,0,2
988,3,4
989,4,5
990,3,3
991,0,1
992,3,5
993,2,2
994,1,2
995,2,2
996,0,2
997,3,5
998,4,5
999,3,4
1000,2,4
1001,3,2
1002,1,3
1003,1,5
1004,4,2
1005,3,3
1006,0,2
1007,0,3
1008,0,3
1009,4,1
1010,0,4
1011,4,5
1012,3,2
1013,0,4
1014,1,5
1015,2,5
1016,1,5
1017,3,5
1018,3,6
1019,0,3
1020,0,3
1021,3,4
1022,0,4
1023,3,10
1024,0,6
1025,4,1
1026,0,4
1027,3,5
1028,3,4
1029,2,6
1030,1,4
1031,0,3
1032,2,5
1033,1,7
1034,2,5
1035,2,4
1036,4,3
1037,0,6
1038,4,6
1039,4,4
1040,3,4
1041,0,3
1042,1,2
1043,2,6
1044,3,4
1045,0,4
1046,0,2
1047,0,3
1048,2,3
1049,0,5
1050,1,4
1051,3,5
1052,0,4
1053,0,2
1054,4,6
1055,3,1
1056,0,2
1057,0,4
1058,3,4
1059,3,4
1060,0,5
1061,1,6
1062,0,4
1063,4,5
1064,3,5
1065,2,2
1066,3,6
1067,3,6
1068,4,4
1069,1,4
1070,2,3
1071,3,5
1072,1,4
1073,2,4
1074,2,4
1075,1,4
1076,2,3
1077,2,3
1078,0,5
1079,3,5
1080,2,3
1081,3,6
1082,4,7
1083,4,3
1084,0,4
1085,1,5
1086,4,2
1087,3,2
1088,4,4
1089,2,4
1090,2,4
1091,4,1
1092,0,1
1093,3,3
1094,4,4
1095,1,4
1096,1,4
1097,0,6
1098,0,3
1099,2,5
1100,1,4
1101,2,4
1102,1,5
1103,4,2
1104,1,2
1105,3,3
1106,3,6
1107,2,3
1108,3,5
1109,0,4
1110,1,6
1111,2,4
1112,1,4
1113,2,5
1114,4,5
1115,1,3
1116,2,3
1117,2,7
1118,3,3
1119,4,4
1120,1,5
1121,3,4
1122,1,7
1123,0,3
1124,2,3
1125,0,4
1126,2,3
1127,2,3
1128,1,5
1129,4,3
1130,0,5
1131,0,5
1132,0,2
1133,4,4
1134,0,2
1135,2,4
1136,3,4
1137,4,7
1138,0,3
1139,2,6
1140,4,2
1141,1,4
1142,0,3
1143,4,3
1144,0,2
1145,1,6
1146,2,3
1147,3,4
1148,0,4
1149,1,5
1150,1,5
1151,4,4
1152,2,5
1153,2,6
1154,0,2
1155,0,6
1156,0,1
1157,2,6
1158,1,2
1159,1,6
1160,0,7
1161,0,4
1162,4,2
1163,3,4
1164,0,3
1165,2,6
1166,0,3
1167,3,5
1168,3,4
1169,4,3
1170,1,2
1171,3,8
1172,2,6
1173,4,5
1174,3,4
1175,1,1
1176,0,3
1177,2,3
1178,1,2
1179,2,2
1180,4,3
1181,3,8
