product_id,product_name,group_ids,is_popular
0,P000,0,0
1,P001,3,0
2,P002,3,0
3,P003,2,0
4,P004,2,0
5,P005,4,0
6,P006,0,0
7,P007,3,0
8,P008,1,0
9,P009,0,0
10,P010,2,1
11,P011,4,0
12,P012,3,0
13,P013,3,0
14,P014,3,0
15,P015,3,0
16,P016,2,0
17,P017,0|3,0
18,P018,4,0
19,P019,2,0
20,P020,2,0
21,P021,1,0
22,P022,0,1
23,P023,4,0
24,P024,3,0
25,P025,3,1
26,P026,2,0
27,P027,4,0
28,P028,2,0
29,P029,2,0
30,P030,2,0
31,P031,1,1
32,P032,0|1,0
33,P033,2|3,0
34,P034,4,0
35,P035,0,0
36,P036,4,0
37,P037,4,0
38,P038,1,0
39,P039,3,0
40,P040,0,0
41,P041,3,0
42,P042,3,0
43,P043,1,0
44,P044,0|3,0
45,P045,4,0
46,P046,2,0
47,P047,4,0
48,P048,3,0
49,P049,3,0
50,P050,3,0
51,P051,0,0
52,P052,1,0
53,P053,2,0
54,P054,2,0
55,P055,0|2,0
56,P056,2,0
57,P057,0,0
58,P058,3,0
59,P059,3,0
60,P060,4,0
61,P061,3,1
62,P062,1,0
63,P063,4,0
64,P064,2,0
65,P065,1,0
66,P066,4,0
67,P067,1,0
68,P068,0|4,0
69,P069,2,1
70,P070,3|0,0
71,P071,0,0
72,P072,2,0
73,P073,0,0
74,P074,3,0
75,P075,2,1
76,P076,1,0
77,P077,1,0
78,P078,2,0
79,P079,3,0
80,P080,4|2,0
81,P081,2,0
82,P082,0,0
83,P083,4,0
84,P084,3|1,0
85,P085,3,0
86,P086,0,0
87,P087,1,0
88,P088,3,0
89,P089,4,0
90,P090,2,0
91,P091,4,1
92,P092,4,0
93,P093,1|2,0
94,P094,4,0
95,P095,1,1
96,P096,1,0
97,P097,3,0
98,P098,3,0
99,P099,0,1
